textID,text,selected_text,sentiment
5b34c6a158,"no, i do better with people i don`t know you`re going to chiodos tonight, right? just kill something for me.","no, i do better with people i don`t know you`re going to chiodos tonight, right? just kill something for me",neutral
20951ebfde,while im stuck inside in elk grove village working all day someone should enjoy it!,while im stuck inside in elk grove village working all day someone should enjoy it,neutral
af60628cca,drink #2: and at 12:45pm when leaving the shops i had a medium light coffee frappuccino. nom nom nom,when leaving the shops i had a medium light coffee frappuccino. nom nom nom,neutral
c31e69a36d,what?? nooooooooo there goes my weekend!,what?? nooooooooo there goes my week,neutral
c3897a6af3,i knew there was a reason i hated cars! 1. too slow! 2. too big! 3. i get car sick! 4. motorbikes are much much much more fun!!,1. too slow! 2. too big! 3. i get car sick! 4. motorbikes are much much much more fun!!,neutral
ddcc9dee12,i am jealous...ur koi fish are getting ur attention & i`m not.....lmao i`m kidding!!,i am jealous...ur koi fish are getting ur attention & i`m not.....lmao i`m kidding!,neutral
8263d62bf3,http://twitpic.com/4wgoi - at bus boys and poets ordering medici and white chocolate banana bread pudding !!,at bus boys and poets ordering medici and white chocolate banana bread pudding,neutral
6babb54cc5,_tah oh no. *hugs*,oh no. *hugs*,neutral
7ad9625924,went and saw fighting last night with the best friend. it wasn`t all that great but channing tatum is amazing!,. it wasn`t all that great but channing tatum is amazing!,neutral
49ff747ca1,- does the 1st show count? that would be the midnight show thurs night/fri morning,does the 1st show count? that would be the midnight show thurs night/fri morning,neutral
4a740beb70,in kelantan! good to be (sort of) home! :pi`m guilt stricken after having that turtle egg. really. won`t do it again. really.,good to be (sort of) home! :pi`m guilt stricken,neutral
d967d8fe91,"diapers?? feeding? cooking? i don`t do any of that stuff!!! hahaha... yeah, right! sounds like a normal day for me.","diapers?? feeding? cooking? i don`t do any of that stuff!!! hahaha... yeah, right! sounds like a normal day for",neutral
7651967ec9,"i want some grape soda, jack fowers` fault. also, i wish i could see you play are your uk gigs sold out? please reply!!!!!!!!","fault. also, i wish i could see you play are your uk gigs sold out? please reply!!!!!!!!",neutral
824aa064d2,- thanks ! my motivation is returning at about the rate i`m inputting coffee !,thanks ! my motivation is returning at about the rate i`m inputting coffee,neutral
1e7784540e,"i can understand, pains been part of my life for a long time now i hope you feel a bit better soon.",", pains been part of my life for a long time now i hope you feel a bit better soon.",neutral
db8475bb3f,sbs 2003 or sbs 2008! damned if you do and damned if you don`t! fun times at gch!,damned if you do and damned if you don`t! fun times at gch!,neutral
9d152ac0aa,_cowan oh cool! i`m gonna crash and sleep. i have been like 40 some hours working lol,oh cool! i`m gonna crash and sleep. i have been like 40 some hours working lol,neutral
6e675117b8,me too haha i did but have no credit,me too haha i did but have no credi,neutral
7b638ba787,"wow never seen him before , he`s bloody awesome , i think bcoz george won last year however could be bad for him x","wow never seen him before , he`s bloody awesome , i think bcoz george won last year however could be bad for him",neutral
65a3a7d925,this is for http://tinyurl.com/d8fgxr,this is for,neutral
55c7927962,"you can have ice cream, i`ll have kiss.","you can have ice cream, i`ll have kis",neutral
8f8a38f144,_lia are the drugs working?,are the drugs working?,neutral
22d2feb19f,"i sent my donation to #eric and wanted to put the banner on, but my avatar disappeared when i tried ~","i sent my donation to #eric and wanted to put the banner on, but my avatar disappeared when i tried",neutral
045c8cea99,_j we`re in the same boat.,we`re in the same boat.,neutral
cdcbcb989b,right all strapped in and ready to go http://twitpic.com/4jloj,right all strapped in and ready to go,neutral
42b29b0a20,"um yeah ... role model for your peers you may not be. but, i know you will be for your little one, so chin up.","um yeah ... role model for your peers you may not be. but, i know you will be for your little one, so chin up",neutral
cfff74d6a3,"follow me aswel !!!!!!!! if u have twitter, follow me lool !! www.twitter.com/djarka koool","follow me aswel !!!!!!!! if u have twitter, follow me lool",neutral
62be6ead7d,just got back from apple store in robina. managed to get a replacement iphone because it couldn`t access the web properly. so shiny,because it couldn`t access the web properly. so shiny,neutral
1843f47897,dad`s posting got postponed one hour before he was meant to leave. either going to afganistan or nowhere. i`m sorta happy but he`s gutted,i`m sorta happy but he`s gutted,neutral
f9147427db,that david -- nice to know he feels so comfortable 'twitting' or 'tweeting' us. i have a feeling he misses home.,nice to know he feels so comfortable 'twitting' or 'tweeting' us. i have a feeling he misses home,neutral
e2682e4cdb,yea he said brooke`s gonna come over to record today! !,yea he said brooke`s gonna come over to record today!,neutral
1fcd6fd06a,family...friend... it`s good for the industry i plan on going into...far far away from ohio i hate it here.,it`s good for the industry i plan on going into...far far away from ohio i hate it here.,neutral
03d9ed3b3d,"actually, i like almost everything about my job right now. except the part where it`s not permanent",i like almost everything about my job right now. except the part where it`s not permanent,neutral
b0197ac371,picture day for 3 yo preschooler. light blue striped utton down and kahkis. wonder what color they will be when i pick him up in 3 hours,wonder what color they will be when i pick him up in 3 hours,neutral
3effbeffea,http://tinyurl.com/64ozr7 :: from ate kaila ocampo of the.rainbowholic.me&&eerie-silence.net,from ate kaila ocampo of the.rainbowholic.me&&eerie-silence.net,neutral
f59555b31d,http://twitpic.com/672s3 - what i woke up to this morning...i didn`t want to leave bed.,what i woke up to this morning...i didn`t want to leave bed.,neutral
484d3adb43,made a little cover for my iphone. the birds aren`t upside down on the back http://twitpic.com/67tp9 & http://twitpic.com/67to5,made a little cover for my iphone. the birds aren`t upside down on the back,neutral
01942ec563,"_ada_franco i am working again! woo hoo! alas, i was unable to obtain an elita-1 for your daughter. it`s $80!","woo hoo! alas,",neutral
3675ceeedd,did you know call of duty has a scenario game called 'nazi zombies?' it`s awesome and scary at the same time,it`s awesome and scary at the same time,neutral
00456b08af,_09 ii no! grr oooh aiden lol x,_09 ii no! grr oooh aiden lol,neutral
1beba1b31c,_lick sounds like you need a week of digital detox,sounds like you need a week of digital detox,neutral
8df1edcdd3,"goodmorning. my father`s going balistic, and i`d say more but i`d rather not get beat, so have a good day, and please text me","goodmorning. my father`s going balistic,",neutral
72bb9e7002,"that was such a tease! i cant wait til sunday!! but then after that, nothing until november oh well, i can wait!","that was such a tease! i cant wait til sunday!! but then after that, nothing until november oh well, i can",neutral
accefe0040,feeling like romeo and juliet with bryant and wallinwood as the montagues and capulets... #fb,feeling like romeo and juliet with bryant and wallinwood as the montagues and capulets...,neutral
19bcc429e1,if i may suggest: http://tr.im/kxkw,if i may suggest:,neutral
cc4a151d1d,"ï¿½anisalovesu me too. i am so so upset,especially because i fear i won`t get a jared hug tomorrow","lovesu me too. i am so so upset,especially because i fear i won`t get a jared hug tomorrow",neutral
855dc31191,if you`ve ever seen the way uses his browser he probably has like 5 copies of it running. http://bit.ly/1doeej,if you`ve ever seen the way uses his browser he probably has like 5 copies of it running. http://bit.ly/1doe,neutral
4130245871,_aries me and that person have something in common then! lol jk....,me and that person have something in common then! lol jk....,neutral
6b04f2321a,"fml dad didnt leave me any moneyz, so i have 2 wait till he gets home call me when you finish work?","fml dad didnt leave me any moneyz, so i have 2 wait till he gets home call me when you finish work",neutral
22e55199bd,it`s cause you give me a reason to assume. - http://tweet.sg,it`s cause you give me a reason to assume.,neutral
bc237ce820,so true sad to say. i`m glad you`ll be with me to be my support group ;),so true sad to say. i`m glad you`ll be with me to be my support group,neutral
a1ee6e27ae,#twpp ..still nw in trending topics..,still nw in trending topics..,neutral
9b24d6614d,early morning r&b. ? http://blip.fm/~5jimj,early morning r&b.,neutral
14cdd8f66e,she doesn`t need a darn (watching my language) thing but that never stops her & i mapped u. u live in the boonies :-o,she doesn`t need a darn (watching my language) thing but that never stops her & i mapped u. u live in the boonies,neutral
d1da906d59,"hi, i teach some chinese lessons on youtube... feel free to have a look www.youtube.com/chineselearn","hi, i teach some chinese lessons on youtube... feel free to have a look",neutral
13d0be3942,must be time of month: watering eyes again!: http://tinyurl.com/cuwj2b (speciaal voor : zo vind ik ze wï¿½l leuk! ),st be time of month: watering eyes again!:,neutral
2739530c9b,_x butbutbuttt he replied to you loads,he replied to you loads,neutral
ec476224c3,bacoor wahaha may wifi toinks new hair wiih short.. short.. http://plurk.com/p/sveoi,bacoor wahaha may wifi toinks new hair wiih short.. short,neutral
c960f01621,"i`m sorry you aren`t having a good day. cheer up though, your day doesn`t define you...",i`m sorry you aren`t having a good day. cheer up,neutral
4c114b964d,"i`m all out of life preservers, sorry but if it`s any consolation, you`re in for something really special tomorrow.","sorry but if it`s any consolation, you`re in for something really special tomorro",neutral
cffc40e08d,http://tinyurl.com/d53dmn mcfly parody by chris moyles ****,http://tinyurl.com/d53dmn mcfly parody by chris moyles,neutral
4cfb203834,just finished emergency - by neil strauss - another great read neil - congrats miss you by the way!,just finished emergency - by neil strauss - another great read neil - congrats miss you by the way,neutral
f6f31ebdcf,no tourney `til next weekend = http://bit.ly/2xdpf,no tourney `til next weekend,neutral
8f1d4e2353,"http://bit.ly/unryf i want this, but...","i want this, but...",neutral
7a7db4cff5,workin ur crazy sched. has to be tiring..its gotta be hard being famous but jus kno u have bazillionz of fans supprtin u,workin ur crazy sched. has to be tiring..its gotta be hard being famous but jus kno u have bazillionz of fans supprtin,neutral
8632fecf99,looks like is hiding money in an offshore bank account on behalf of last.fm http://bit.ly/cet0s,looks like is hiding money in an offshore bank account on behalf of last.fm http://bit.ly/cet0,neutral
7753371e17,"hiya, hows your week been?? just tried to dm you but your not following! x","hiya, hows your week been?? just tried to dm you but your not following!",neutral
7970872189,http://bit.ly/wzk3o <--- paranoid. i actually like it better performed live rather than the studio version.,paranoid. i actually like it better performed live rather than the studio version.,neutral
4d2e0f9522,"and the city i love, tucson, is the 18th most miserable http://bit.ly/k3gmw","and the city i love, tucson, is the 18th most miserable",neutral
1e874e6352,"time always seems to fly when im with wade, its weird; but i like it... a lot!",its weird; but i like it... a lot!,neutral
55f3aa08a3,does the creepy lolipop guy play head esploder 5 ??,does the creepy lolipop guy play head esploder 5,neutral
6bd4a0b146,heading home from sacramento. will continue writing the windows server 2008 r2 unleashed book over the weekend. sigh #windows,heading home from sacramento. will continue writing the windows server 2008 r2 unleashed book over the weekend. sigh #window,neutral
baeb1065cc,"editors read this and nod, writers read this and take notes. http://tinyurl.com/crm4c2","editors read this and nod, writers read this and take notes.",neutral
9d4b1e13a3,_jen lol - i know... seems that the whole fabric of our earth will now unravel - lol - i guess people have never seen bambi,i know... seems that the whole fabric of our earth will now unravel - lol - i guess people have never seen bambi,neutral
331b42de7d,_mitchell i`ve never been to the opera before...don`t think that was me,i`ve never been to the opera before...don`t think that was me,neutral
d4a0ea90dc,i read 'the picture of dorian gray' by oscar wilde (on english). it`s not easy for me but i try to make out,it`s not easy for me but i try to make out,neutral
cf9cdcdf32,well that does make me feel better about staying up even later to watch the daily show. lay on the guilt again.,well that does make me feel better about staying up even later to watch the daily show. lay on the guilt agai,neutral
42a4413514,aaaawww would u like an alcoholic beverage of your choice?,aaaawww would u like an alcoholic beverage of your choice,neutral
0068b3323c,_lavish i told diamond to follow you. and why u aitn share the starburst,i told diamond to follow you. and why u aitn share the starburst,neutral
5acdda01f7,"entered house searching mode yesterday... we need to find an apartment in dï¿½sseldorf until the end of august, this one was temporary...","entered house searching mode yesterday... we need to find an apartment in dï¿½sseldorf until the end of august, this one was temporary..",neutral
b1e3728694,i hope when you`re calling this the shitshow you mean that in a good way. because this will be fun.,e when you`re calling this the shitshow you mean that in a good way. because this will be fun.,neutral
7db07f3e7b,"_extacy lol i know eric, i wont delete you! just people i dont really know and never talk. and bands","lol i know eric, i wont delete you! just people i dont really know and never talk. and bands",neutral
86727ae7f2,http://twitpic.com/67ljj - as if teenagers need any more encouragement,as if teenagers need any more encouragement,neutral
94907bfb23,please everyone to vote for me to become the next maxim coors caddy girl...only takes a few minutes http://tinyurl.com/dloeyu,please everyone to vote for me to become the next maxim coors caddy girl...only takes a few minutes,neutral
3ca99f60e0,i want to play audition with anna ~ -mhc-smooch,i want to play audition with anna,neutral
0f3d01cda7,hmmm...strained my back hope it`s better tomorrow morning..,strained my back hope it`s better tomorrow morning..,neutral
0a24bf3d0a,_bree say hi to the otters! they are my favorite- besides the fact they are slowly killing themselves with each shell they open.,they are my favorite- besides the fact they are slowly killing themselves with each shell they open.,neutral
d2e5c297f1,http://twitter.com/djc_yana ~ yeah. haha! why?,yeah. haha! why?,neutral
f5943c8307,on the way to sthlm - it will maybe be a movie // cool http://gykd.net,on the way to sthlm - it will maybe be a movie,neutral
bced14cd92,"marley won`t watch the french open unless it`s in hd, which it`s not... but my latest political ad is: http://tinyurl.com/lvsn76","marley won`t watch the french open unless it`s in hd, which it`s not... but my latest political ad is:",neutral
881018e088,_stack8 mady were did u go? truck did u run away?,mady were did u go? truck did u run away?,neutral
e14d41126f,"photo: got my prints a few days ago, ready for the norskart exhibition http://tumblr.com/xht1phgl3","got my prints a few days ago, ready for the no",neutral
32af438404,@_supernatural_ more demon sam!! i need it to numb the pain ****,demon sam!! i need it to numb the pain,neutral
ef8d8e856f,_mcflyandjb its okay!!! x,its okay!!,neutral
f14d0140f1,yikes! i hope she was okay. i never her heard her say her tummy hurt.,yikes! i hope she was okay. i never her heard her say her tummy hurt,neutral
8d194c4e53,_inthemaking :aw,aw,neutral
4f5f302b6d,": omg! i never got your message so i didn`t notice until i was looking back a ways! sorry, that was a good idea though...lol","omg! i never got your message so i didn`t notice until i was looking back a ways! sorry, that was a good idea though...lol",neutral
56bd08d6d6,lol the things u gotta do sometimes man smh lol,lol the things u gotta do sometimes man smh lo,neutral
f3b503d94d,how come its for us now to win ms twitter world.is it not working for you ?,how come its for us now to win ms twitter world.is it not working for you,neutral
b2e6fdc755,yeah dnt go there.. i have 3 dif apps on my phone for it so sad but there is a reason as to why lol,so sad but there is a reason as to why lol,neutral
eb789743a8,"thanks for the tip! unfortunately a major crash in my https site, just as extplorer","thanks for the tip! unfortunately a major crash in my https site,",neutral
4967155e18,_cochran hi corey.. just saw your reply now.. here it is 5:30pm .. an i have a long night coming...,hi corey.. just saw your reply now.. here it is 5:30pm .. an i have a long night coming...,neutral
8b211e20c3,think yourself lucky! i also broke all my fingers at school when a window sash broke with my fingers like pancakes on the sill,think yourself lucky! i also broke all my fingers at school when a window sash broke with my fingers like pancakes on the sil,neutral
b876789255,_1210 i`m not going till wednesday,i`m not going till wednesday,neutral
16b0e0e6bb,"it`s this year. can`t catch it, won`t be in ny till oct 2010 http://bit.ly/af8jt","it`s this year. can`t catch it, won`t be in ny till oct 2010",neutral
7a3f00a1fe,tapit:e446wwhllyar tk3h6694prmp 9r46tahxefkt please @ reply me if you win! thanks!,please @ reply me if you win! thanks!,neutral
cb5e8184f5,"heh, thats the same theme i used on http://leetbix.net","heh, thats the same theme i used",neutral
974b2c5636,"_mcflyandjb in heaven, i`ll go everywhere","in heaven, i`ll go everywhere",neutral
65d976c36b,"i may see the sun come up. all my bits are sore today - but life is still grand tomorrow is a new day! sleep well, friend!",". all my bits are sore today - but life is still grand tomorrow is a new day! sleep well, friend",neutral
73a87769d2,re-direct that energy into creating men`s jewelry. and frequent walks too.,re-direct that energy into creating men`s jewelry. and frequent walks to,neutral
e9ef6f77f0,_elaine lol y i see ya twitts all tha time n i didnt get this one till right now lol and u never get mines **** twitta,y i see ya twitts all tha time n i didnt get this one till right now lol and u never get mines ****,neutral
96f3999235,"seems that you, and i are all ex-baristas! commonalities ftw!","seems that you, and i are all ex-baristas! commonalities ftw",neutral
e546548dc7,_benson it`s raining where i am. i wish it wasn`t.,it`s raining where i am. i wish it wasn`t.,neutral
fe99f6e3a5,back to work i go....,back to work i go..,neutral
8994865218,last song .. then i really have to go ? http://blip.fm/~5jbvo,last song .. then i really have to go,neutral
06e703018b,_giiggl3z lmao ight im dun wit the faces lmao id rather see urs tho lol,lmao ight im dun wit the faces lmao id rather see urs tho lol,neutral
2f58261ffa,i have to work tonight. *m*,i have to work tonight.,neutral
6064742680,p-nutt got a new collar and leash today http://apps.facebook.com/dogbook/profile/view/1034415,p-nutt got a new collar and leash today,neutral
afcf08a2d0,"http://is.gd/iq03 microsoft has released zune also in europe, no hd for us","microsoft has released zune also in europe, no hd for us",neutral
44d2f5ce94,i`m sad twits! i`m going to miss musiq soulchild and anthony hamilton! ugggghhhh i love them!,i`m sad twits! i`m going to miss musiq soulchild and anthony hamilton! ugggghhhh i love them,neutral
1f27adbaa5,", just read an article that buying ip`s doesn`t necessary mean to get developement teams . does that mean ?",", just read an article that buying ip`s doesn`t necessary mean to get developement teams . does that mean",neutral
f07b61254b,nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys then headin to sleep early start 7am x,nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys then headin to sleep early start 7am,neutral
452e060f62,about to make **** happen *pu+ !+ 0n m3*,about to make **** happen,neutral
a2f1cb807d,off to work now apparently sun shining not a valid excuse to stay home,ff to work now apparently sun shining not a valid excuse to stay home,neutral
f1d8f49520,"morning john, yes i do, however i have a diary clash and sadly can`t attend!",sadly,neutral
1172ae9fcc,"oh chris, so sorry about mr. raccoon. obviously not a female, cuz any female of any species would adore you. hugs, angel","oh chris, so sorry about mr. raccoon. obviously not a female, cuz any female of any species would adore you. hugs, ang",neutral
844c3a5947,http://pic.gd/fad84c one sunday night at helsinki. we hadn`t drink anything... xd yeah right!,one sunday night at helsinki. we hadn`t drink anything... xd yeah right!,neutral
ff207f2540,more to thank for #ff shouts and heaps more. sry will be here all night i now realise,more to thank for #ff shouts and heaps more. sry will be here all night i now realis,neutral
1aaa87b4a3,_michele but sometimes not having to say nice things all the time is kinda fun *teehee*and now i`ll put this back on as well *halo*,michele but sometimes not having to say nice things all the time is kinda fun *teehee*and now i`ll put this back on as well *halo*,neutral
c529737091,: just got home from drews bday.,just got home from drews bday.,neutral
ee5b47b5a9,i know exactly what you are saying.. its so not cool... that is why tapes were better :p,g.. its so not cool... that is why tapes were better,neutral
52be3592c9,_carter the video is `private i cant see it,the video is `private i cant see it,neutral
46b63cf74e,"?. pick up that, as fast you can!","pick up that, as fast you can!",neutral
7e9df3893e,"looks like you did the full lincoln marathon yesterday? that is awesome, the hm was tough for me","that is awesome, the hm was tough for me",neutral
a8c660c984,'mamma who bore me' hat es mir echt angetan. 90210 lï¿½sst grï¿½ï¿½en. ^^,mamma who bore me' hat es mir echt angetan. 90210 lï¿½sst grï¿½ï¿½en. ^^,neutral
c8fe93abf7,hey how are you? x,hey how are you?,neutral
94685b4441,"_cullen26 yes, yes it is.","yes, yes it is.",neutral
7892df6e65,yupp t`s better than people being rude to her x,yupp t`s better than people being rude to her,neutral
8b56a3a5b8,cooking brown rice http://bit.ly/gihac,cooking brown rice,neutral
1859019d51,argh. interested. time maybe can`t go. maybe.,argh. interested.,neutral
f4b44547ce,_kay morning! hows your day. hope you`re not another lying in the sun,morning! hows your day. hope you`re not another lying in the sun,neutral
91b4a40cfe,http://twitpic.com/4wrxq - whens your little gingg getting twitter ? from g + j,whens your little gingg getting twitter ? from g + j,neutral
d290b62835,"???ï¿½ï¿½ ???ce d grade?mock?????, ???????",?ce d grade?mock?,neutral
dd2b941fef,"[stapler haiku] whar a night! woo hoo! yeah! / a beautiful night to party! / oops, i`m a stapler...","whar a night! woo hoo! yeah! / a beautiful night to party! / oops, i`m a stapler...",neutral
de5afb99a6,"sorry if i`m unsociable i`m loading up stock in the shop, mums making me",sorry if i`m unsociable i`,neutral
14c6dd03ef,_m didnt get it clear,didnt get it clear,neutral
b7ea6e1db5,"you`re welcome! math is really *not* my favorite thing but it`s also so useful, so...","you`re welcome! math is really *not* my favorite thing but it`s also so useful, so..",neutral
dd88d659cf,", in pre-twitter days, i`d need to wait for a formal invitation to speak on edu2.0 from #y4it",", in pre-twitter days, i`d need to wait for a formal invitation to speak on edu2.0 from",neutral
8e5bc8627a,that gets around the problem i had of doing it all myself good idea.,d the problem i had of doing it all myself good idea.,neutral
8bbda7677f,i am with you. -#followfriday is easy enough for those who are annoyed by it. i recommend relatively few people anyway.,-#followfriday is easy enough for those who are annoyed by it. i recommend relatively few people anyway.,neutral
7fd1786659,_louise so i can just watch that again x,so i can just watch that again x,neutral
bb30655041,http://tinyurl.com/mdr7b4 i just noticed that too,4 i just noticed that too,neutral
acd5a27220,go get `em! lol,go get `em!,neutral
7937b0cfa5,http://twitpic.com/666gy - my glass is empty. will someone be a dear and fetch me another?,my glass is empty. will someone be a dear and fetch me another?,neutral
05cc0a3d64,"tired from work. i hate closing, eek. but all smiles today. aloha kitchen, yum.","tired from work. i hate closing, eek. but all smiles today.",neutral
d9fdc463f9,"so disappointed with human kind 'what`s wrong with the world?' i have five girls in the garden, innocently enjoying the good weather...","so disappointed with human kind 'what`s wrong with the world?' i have five girls in the garden, innocently enjoying the good weather..",neutral
642b5ea30e,"c`mon, we`re talking about philos-ophy - the love of wisdom. i need a 'mat' - a context to intersubjectively 'ground' it.","c`mon, we`re talking about philos-ophy - the love of wisdom. i need a 'mat' - a context to intersubjectively 'ground' it",neutral
e71be29f7d,says just passed by to say hi busy with movie task from school =. = http://plurk.com/p/rozcz,says just passed by to say hi busy with movie task from school,neutral
9c825ecb4b,but i dont mind the long line when theres a super cutie in front of me. too bad he`s wearing a **** bracelet with a girls name on it,super cutie in front of me. too bad he`s wearing a **** bracelet with a girls name on it,neutral
67e69018ab,really? i can only go in 1direction at a time?! ugh! gotta take authority over the time 2day! say hello! don`t be a stranger! beblessed!,ugh! gotta take authority over the time 2day! say hello! don`t be a stranger! beblessed!,neutral
17f403bfbd,http://twitpic.com/4w5sy - my babe,my babe,neutral
3d5b85833e,"i`ve lost count of the number i`ve rung today already were going to wales, but i`m due in court on monday!","i`ve lost count of the number i`ve rung today already were going to wales, but i`m due in court on monday",neutral
cc443795be,sick right now very thankful for my chicken soup and my bed!,sick,neutral
3781398398,curious if they fixed the window handle in our room in the meantime #edc,curious if they fixed the window handle in our room in the meantime,neutral
9abdd004ac,yeah i did i remember it na....... i did watch it before ),yeah i did i remember it na....... i did watch it before,neutral
86a88ddda0,ah same how was oliver?? so anooyed i couldnt come. we are the only ones with twiiter its great! x,ah same how was oliver?? so anooyed i couldnt come. we are the only ones with twiiter its great!,neutral
